date_part,new_diy_flag,agent_id,created,saved,sent,downloaded,psm_detail,psm_review,checkout,bookings
2026-08-18,1,hes6131,4,3,3,0,3,,0,0
2026-08-18,0,hes5964,14,13,13,0,10,2,0,0
2026-08-18,0,hes8505,2,2,0,2,,,0,0
2026-08-18,1,hes5563,1,1,0,1,,,0,0
2026-08-18,0,indrnt005,1,1,0,1,,,0,0
2026-08-18,0,hes7300,2,1,0,1,,,0,0
2026-08-18,0,HES8480,4,4,3,0,2,,0,0
2026-08-18,0,HES5848,3,2,2,0,3,,0,0
2026-08-18,0,hes6983,6,6,0,4,1,1,0,0
2026-08-18,0,hes9141,5,4,3,1,,,0,0
2026-08-18,0,hes8444,24,20,1,19,6,,0,0
2026-08-18,0,hes7761,5,5,4,1,1,,0,0
2026-08-18,1,hes6298,2,2,1,1,,,0,0
2026-08-18,1,HES4473,2,2,2,0,2,,0,0
2026-08-18,1,hes7761,1,1,1,0,,,0,0
2026-08-18,0,hes5321,7,5,3,2,4,2,0,0
2026-08-18,0,hes8752,3,3,1,1,,,0,0
2026-08-18,0,hes8876,4,3,1,2,,,0,0
2026-08-18,0,hes7992,4,4,2,2,,,0,0
2026-08-18,0,hes5958,9,9,9,0,4,1,0,0
2026-08-18,0,icsats96092,2,2,2,0,2,1,0,0
2026-08-18,0,hes8417,36,34,23,8,14,2,0,0
2026-08-18,0,HES5262,7,5,4,0,5,,0,0
2026-08-18,0,framumbaithane2,14,14,8,6,2,,0,0
2026-08-18,0,hes9034,3,3,1,2,,,0,0
2026-08-18,0,frawhitefield1,2,2,1,0,,,0,0
2026-08-18,0,HES7311,3,2,0,2,,,0,0
2026-08-18,0,flm0089,1,1,0,1,,,0,0
2026-08-18,0,hes6049,2,2,2,0,2,,0,0
2026-08-18,0,HES2608,11,10,0,10,7,,0,0
2026-08-18,1,HES5804,3,2,1,1,,,0,0
2026-08-18,0,hes6627,1,1,1,0,1,,0,0
2026-08-18,0,frasouthex9,12,10,10,0,4,,0,0
2026-08-18,0,hes7268,3,2,0,2,,,0,0
2026-08-18,0,rmdn5933,30,26,0,26,2,,0,0
2026-08-18,0,hes8044,5,5,5,0,3,,0,0
2026-08-18,0,hes8027,5,5,4,1,4,,0,0
2026-08-18,0,HES5209,2,1,0,1,,,0,0
2026-08-18,1,hes6472,1,1,1,0,,,0,0
2026-08-18,0,hes6783,2,2,0,2,,,0,0
2026-08-18,0,hes9206,7,6,3,3,3,,0,0
2026-08-18,1,HES2435,1,1,1,0,1,,0,0
2026-08-18,0,hes9294,1,1,1,0,,,0,0
2026-08-18,0,HES2437,1,1,1,0,1,,0,0
2026-08-18,0,hes7273,15,13,5,7,1,,0,0
2026-08-18,0,hes7779,2,2,0,2,1,,0,0
2026-08-18,0,HES4767,26,24,11,6,12,7,0,0
2026-08-18,0,hes7601,9,9,5,3,,,0,0
2026-08-18,0,HES6524,4,4,1,3,1,,0,0
2026-08-18,0,vadod001,2,2,1,1,,,0,0
2026-08-18,0,HES8091,4,3,0,3,2,,0,0
2026-08-18,0,HES7051,4,4,3,1,2,,0,0
2026-08-18,0,hes9424,7,7,0,6,,,0,0
2026-08-18,0,hes5643,2,2,2,0,1,,0,0
2026-08-18,0,FRA00090,4,3,3,0,1,,0,0
2026-08-18,0,hes8760,1,1,0,1,,,0,0
2026-08-18,1,hes7489,1,1,1,0,1,,0,0
2026-08-18,0,hes6653,2,2,0,2,,,0,0
2026-08-18,0,hes5476,3,3,3,0,1,,0,0
2026-08-18,0,HES6403,2,2,2,0,1,,0,0
2026-08-18,0,hes5911,16,15,9,6,10,2,0,0
2026-08-18,0,fra00324,2,2,2,0,,,0,0
2026-08-18,0,hes6376,6,5,2,2,,,0,0
2026-08-18,0,hes7449,6,4,0,4,,,0,0
2026-08-18,0,HES4294,7,7,0,6,1,,0,0
2026-08-18,0,hes7030,3,3,1,2,,,0,0
2026-08-18,0,hes5840,10,8,8,0,4,,0,0
2026-08-18,1,hes8662,1,1,0,1,,,0,0
2026-08-18,0,HES4453,8,6,4,2,5,,0,0
2026-08-18,1,HES4181,1,1,0,1,,,0,0
2026-08-18,0,noida004,9,9,9,0,2,,0,0
2026-08-18,0,HES6144,3,3,0,3,,,0,0
2026-08-18,0,hes9099,2,2,1,1,,,0,0
2026-08-18,1,hes6100,1,1,0,0,,,0,0
2026-08-18,0,HES3977,9,8,0,4,,,0,0
2026-08-18,0,HES7505,3,2,1,1,,,0,0
2026-08-18,0,CHANDIGARHFRA1,4,3,0,3,1,1,0,0
2026-08-18,0,hes7284,2,2,0,2,,,0,0
2026-08-18,0,hes7925,11,9,3,6,,,0,0
2026-08-18,0,hes7740,3,3,3,0,3,,0,0
2026-08-18,0,hes7204,2,2,0,2,,,0,0
2026-08-18,0,fravaishalinagar1,2,2,1,1,,,0,0
2026-08-18,1,HES0803,6,5,2,3,,,0,0
2026-08-18,0,HES6538,4,4,0,4,2,,0,0
2026-08-18,0,hes7193,11,10,0,5,,,0,0
2026-08-18,0,hes8806,2,1,1,0,,,0,0
2026-08-18,0,hes6047,7,6,6,0,2,,0,0
2026-08-18,1,hes9213,1,1,1,0,,,0,0
2026-08-18,1,hes5442,3,3,3,0,1,,0,0
2026-08-18,0,hes5497,2,2,2,0,,,0,0
2026-08-18,0,hes6825,2,2,2,0,2,,0,0
2026-08-18,1,HES6495,3,2,0,1,,,0,0
2026-08-18,0,FRA00190,12,11,0,11,,,0,0
2026-08-18,0,hes7029,1,1,0,1,,,0,0
2026-08-18,0,HES7052,3,2,0,2,,,0,0
2026-08-18,0,hes7943,1,1,0,1,,,0,0
2026-08-18,0,hes6658,6,6,6,0,,,0,0
2026-08-18,0,hes6497,1,1,0,1,1,,0,0
2026-08-18,0,HES3144,2,1,0,1,,,0,0
2026-08-18,0,hes8849,14,13,6,6,2,2,0,0
2026-08-18,0,hes7841,6,5,4,1,5,,0,0
2026-08-18,0,HES5271,8,6,1,4,,,0,0
2026-08-18,0,hes8982,1,1,0,1,,,0,0
2026-08-18,1,HES3693,2,1,0,1,,,0,0
2026-08-18,0,hes8592,1,1,0,1,,,0,0
2026-08-18,0,hes7856,1,1,0,1,,,0,0
2026-08-18,0,icsats91558,16,13,5,7,1,,0,0
2026-08-18,0,hes6281,1,1,1,0,1,,0,0
2026-08-18,1,hes7461,1,1,0,1,,,0,0
2026-08-18,0,hes6203,1,1,0,1,,,0,0
2026-08-18,0,hes5564,4,4,1,1,,,0,0
2026-08-18,1,hes9252,2,2,1,1,,,0,0
2026-08-18,0,HES3381,12,11,11,0,8,1,0,0
2026-08-18,0,hes7661,4,4,0,4,,,0,0
2026-08-18,0,hes8825,3,3,0,3,,,0,0
2026-08-18,1,hes8968,3,3,0,2,,,0,0
2026-08-18,0,hes9321,3,2,0,2,,,0,0
2026-08-18,0,hes7731,2,1,1,0,,,0,0
2026-08-18,1,hes7561,1,1,0,1,,,0,0
2026-08-18,0,hes8287,5,4,1,2,2,2,0,0
2026-08-18,0,hes8601,16,13,10,1,7,1,0,0
2026-08-18,1,HES5555,2,2,0,2,,,0,0
2026-08-18,0,rmdn8751,6,5,0,5,3,,0,0
2026-08-18,0,hes6999,8,7,0,7,,,0,0
2026-08-18,1,hes5958,1,1,0,1,,,0,0
2026-08-18,0,fraggn1,4,4,4,0,1,,0,0
2026-08-18,1,hes8750,2,2,0,0,,,0,0
2026-08-18,0,HES4548,9,7,3,4,1,,0,0
2026-08-18,0,ICSATS82193,14,14,13,0,12,1,0,0
2026-08-18,0,HES8197,5,5,0,4,1,1,0,0
2026-08-18,0,hes8573,3,3,2,1,1,,0,0
2026-08-18,0,hes7503,3,2,1,1,2,,0,0
2026-08-18,0,HES4297,7,7,3,4,1,1,0,0
2026-08-18,0,HES4079,4,4,0,2,,,0,0
2026-08-18,0,HES4229,7,7,6,1,5,,0,0
2026-08-18,0,amdcg10,1,1,1,0,,,0,0
2026-08-18,0,fragomtinagar1,14,10,6,3,1,,0,0
2026-08-18,1,hes8592,70,60,1,55,,,0,0
2026-08-18,0,hes9150,5,5,2,3,2,,0,0
2026-08-18,1,hes7758,1,1,1,0,,,0,0
2026-08-18,0,hes8468,8,7,0,6,,,0,0
2026-08-18,0,icsats92875,24,22,19,0,16,,0,0
2026-08-18,0,hes6721,2,2,2,0,1,,0,0
2026-08-18,0,hes6680,1,1,1,0,1,,0,0
2026-08-18,0,hes5644,9,9,9,0,8,5,0,0
2026-08-18,0,HES2618,5,4,0,2,,,0,0
2026-08-18,0,hes8813,2,2,1,0,,,0,0
2026-08-18,0,hes8271,4,3,3,0,4,,0,0
2026-08-18,0,ins1218,1,1,0,0,,,0,0
2026-08-18,0,hes9401,3,3,3,0,3,1,0,0
2026-08-18,1,hes8679,1,1,1,0,1,,0,0
2026-08-18,1,HES2734,1,1,0,0,,,0,0
2026-08-18,0,hes7260,17,15,6,8,8,5,0,0
2026-08-18,0,hes7729,20,19,4,14,12,8,0,0
2026-08-18,0,hes7868,2,2,1,1,1,,0,0
2026-08-18,0,franagpur1,4,4,4,0,,,0,0
2026-08-18,0,hes9388,4,4,4,0,4,,0,0
2026-08-18,0,hes5904,7,6,6,0,6,,0,0
2026-08-18,1,hes8712,2,1,1,0,,,0,0
2026-08-18,0,hes8524,9,7,5,2,2,,0,0
2026-08-18,1,hes7857,1,1,0,1,,,0,0
2026-08-18,0,hes6887,11,11,10,0,9,6,0,0
2026-08-18,0,hes8207,1,1,0,1,,,0,0
2026-08-18,0,hes6938,9,9,2,7,1,,0,0
2026-08-18,0,HES1513,3,2,0,2,,,0,0
